numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.39978627205782577e-06
0  1  1.46320076529914847e-06
0  2  3.01208730355104462e-06
0  3  3.10020835438412987e-06
0  4  4.85165585966515097e-06
0  5  2.43400840948836640e-06
1  0  1.46320076529914763e-06
1  1  1.52948812422959531e-06
1  2  3.14854384250005354e-06
1  3  3.24065703977293563e-06
1  4  5.07145034105386179e-06
1  5  2.54427625031095169e-06
2  0  3.01208730355104462e-06
2  1  3.14854384250004930e-06
2  2  6.48146799645040729e-06
2  3  6.67108858617065539e-06
2  4  1.04398873655282991e-05
2  5  5.23754659786633829e-06
3  0  3.10020835438413156e-06
3  1  3.24065703977293097e-06
3  2  6.67108858617066047e-06
3  3  6.86625667964554402e-06
3  4  1.07453147162378332e-05
3  5  5.39077526074310683e-06
4  0  4.85165585966514759e-06
4  1  5.07145034105386518e-06
4  2  1.04398873655282923e-05
4  3  1.07453147162378247e-05
4  4  1.68158275663178053e-05
4  5  8.43626730601395636e-06
5  0  2.43400840948836936e-06
5  1  2.54427625031095211e-06
5  2  5.23754659786633321e-06
5  3  5.39077526074311360e-06
5  4  8.43626730601394280e-06
5  5  4.23235822190965016e-06
