numXbins 6
numYbins 6
xbin  ybin  z
0  0  4.00787081668247668e-05
0  1  -5.23272922789848170e-05
0  2  3.39994144024943797e-05
0  3  3.42431550787093927e-05
0  4  4.37628166776746227e-05
0  5  -8.73366919576752866e-05
1  0  -5.23272922789848102e-05
1  1  6.83192059447866362e-05
1  2  -4.43900858118550923e-05
1  3  -4.47083168673944172e-05
1  4  -5.71373131517211732e-05
1  5  1.14027941911856370e-04
2  0  3.39994144024943729e-05
2  1  -4.43900858118550923e-05
2  2  2.88422514742975177e-05
2  3  2.90490206202212008e-05
2  4  3.71247030580759284e-05
2  5  -7.40891240818466464e-05
3  0  3.42431550787093927e-05
3  1  -4.47083168673944104e-05
3  2  2.90490206202211974e-05
3  3  2.92572720873063950e-05
3  4  3.73908488251922425e-05
3  5  -7.46202665594818717e-05
4  0  4.37628166776746227e-05
4  1  -5.71373131517211732e-05
4  2  3.71247030580759148e-05
4  3  3.73908488251922357e-05
4  4  4.77855752134509850e-05
4  5  -9.53648411887196362e-05
5  0  -8.73366919576752730e-05
5  1  1.14027941911856343e-04
5  2  -7.40891240818466193e-05
5  3  -7.46202665594818582e-05
5  4  -9.53648411887196091e-05
5  5  1.90317954619697731e-04
