numXbins 6
numYbins 6
xbin  ybin  z
0  0  8.70604027457554976e-04
0  1  -7.60713059770874115e-04
0  2  3.72039594396850919e-04
0  3  5.03058148660302947e-04
0  4  9.34387764875068620e-04
0  5  -1.85921304377306565e-03
1  0  -7.60713059770874007e-04
1  1  6.64692950015302250e-04
1  2  -3.25079334902733728e-04
1  3  -4.39560226510332056e-04
1  4  -8.16445770077988309e-04
1  5  1.62453606770557031e-03
2  0  3.72039594396850919e-04
2  1  -3.25079334902733782e-04
2  2  1.58985549611096214e-04
2  3  2.14974366856733135e-04
2  4  3.99296619461651618e-04
2  5  -7.94506853733098158e-04
3  0  5.03058148660302947e-04
3  1  -4.39560226510332056e-04
3  2  2.14974366856733107e-04
3  3  2.90680370124831908e-04
3  4  5.39914087580771148e-04
3  5  -1.07430271658278515e-03
4  0  9.34387764875068620e-04
4  1  -8.16445770077988200e-04
4  2  3.99296619461651510e-04
4  3  5.39914087580771040e-04
4  4  1.00284453966736583e-03
4  5  -1.99542600953839895e-03
5  0  -1.85921304377306544e-03
5  1  1.62453606770557031e-03
5  2  -7.94506853733098158e-04
5  3  -1.07430271658278515e-03
5  4  -1.99542600953839895e-03
5  5  3.97043091131855843e-03
