numXbins 6
numYbins 6
xbin  ybin  z
0  0  3.70367221012133860e-04
0  1  -1.04224065752140017e-04
0  2  -7.50807072127879037e-05
0  3  -9.10094455136763745e-05
0  4  5.92677796553300242e-06
0  5  2.42789126981266948e-05
1  0  -1.04224065752139949e-04
1  1  2.93294202770458716e-05
1  2  2.11282643854878729e-05
1  3  2.56107287447353774e-05
1  4  -1.66783900230147106e-06
1  5  -6.83226497886306433e-06
2  0  -7.50807072127878766e-05
2  1  2.11282643854878491e-05
2  2  1.52203334306080377e-05
2  3  1.84494014171590028e-05
2  4  -1.20147425554921971e-06
2  5  -4.92181227796389681e-06
3  0  -9.10094455136763745e-05
3  1  2.56107287447353435e-05
3  2  1.84494014171589926e-05
3  3  2.23635319293968065e-05
3  4  -1.45637288000755027e-06
3  5  -5.96599876277677547e-06
4  0  5.92677796553293890e-06
4  1  -1.66783900230147360e-06
4  2  -1.20147425554922225e-06
4  3  -1.45637288000754370e-06
4  4  9.48428885167863304e-08
4  5  3.88521760681520876e-07
5  0  2.42789126981267524e-05
5  1  -6.83226497886305586e-06
5  2  -4.92181227796386971e-06
5  3  -5.96599876277677293e-06
5  4  3.88521760681524317e-07
5  5  1.59157065841941430e-06
