numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.41310601037856467e-05
0  1  -1.02528203345430560e-04
0  2  -3.27806945360650546e-05
0  3  -6.44866452276188965e-06
0  4  2.95682680745540869e-05
0  5  -4.86060927864174875e-05
1  0  -1.02528203345430465e-04
1  1  4.35622489688832003e-04
1  2  1.39278825743377135e-04
1  3  2.73991272928979899e-05
1  4  -1.25629847535976851e-04
1  5  2.06517879595802554e-04
2  0  -3.27806945360650546e-05
2  1  1.39278825743377162e-04
2  2  4.45307387924588933e-05
2  3  8.76014982255396112e-06
2  4  -4.01668372439379512e-05
2  5  6.60286565683546961e-05
3  0  -6.44866452276188457e-06
3  1  2.73991272928980305e-05
3  2  8.76014982255395265e-06
3  3  1.72330904437155742e-06
3  4  -7.90167694712993951e-06
3  5  1.29892505672666564e-05
4  0  2.95682680745541106e-05
4  1  -1.25629847535976824e-04
4  2  -4.01668372439379579e-05
4  3  -7.90167694712996154e-06
4  4  3.62305871838402506e-05
4  5  -5.95580125939008516e-05
5  0  -4.86060927864175485e-05
5  1  2.06517879595802500e-04
5  2  6.60286565683546961e-05
5  3  1.29892505672666733e-05
5  4  -5.95580125939008381e-05
5  5  9.79050338360888840e-05
