numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.77252382708869826e-05
0  1  1.44297905623696424e-05
0  2  1.35342675464243745e-05
0  3  1.38935962169594521e-05
0  4  1.73938026663343497e-05
0  5  -1.02210240461341837e-04
1  0  1.44297905623696627e-05
1  1  6.45935170599907398e-05
1  2  3.12296079408816795e-05
1  3  2.26783479523667573e-05
1  4  3.01949240612096672e-05
1  5  -1.71703371767931401e-04
2  0  1.35342675464243762e-05
2  1  3.12296079408816592e-05
2  2  1.95457420696806705e-05
2  3  1.62871981174508252e-05
2  4  2.23897870166536721e-05
2  5  -1.06020985475574183e-04
3  0  1.38935962169594521e-05
3  1  2.26783479523667437e-05
3  2  1.62871981174508252e-05
3  3  1.46919915888060608e-05
3  4  2.03850974707064655e-05
3  5  -8.30061460670967566e-05
4  0  1.73938026663343294e-05
4  1  3.01949240612096638e-05
4  2  2.23897870166536687e-05
4  3  2.03850974707064621e-05
4  4  2.93005322968353637e-05
4  5  -1.12468446816573603e-04
5  0  -1.02210240461341755e-04
5  1  -1.71703371767931373e-04
5  2  -1.06020985475574169e-04
5  3  -8.30061460670967566e-05
5  4  -1.12468446816573603e-04
5  5  7.96240604501460424e-04
