numXbins 6
numYbins 6
xbin  ybin  z
0  0  4.99584223061066071e-05
0  1  -2.11467330341375036e-05
0  2  -5.49608128672398180e-06
0  3  -1.42857330920159006e-06
0  4  7.38804972598721171e-07
0  5  6.43174255752976731e-06
1  0  -2.11467330341375002e-05
1  1  9.11688047886622717e-06
1  2  2.40112588485734521e-06
1  3  6.16052510637642710e-07
1  4  -3.32669351637169207e-07
1  5  -4.60366236840294409e-06
2  0  -5.49608128672398010e-06
2  1  2.40112588485734521e-06
2  2  6.38313799760524804e-07
2  3  1.62280453670659350e-07
2  4  -9.02670785636053489e-08
2  5  -1.55547667785880074e-06
3  0  -1.42857330920158794e-06
3  1  6.16052510637642075e-07
3  2  1.62280453670658582e-07
3  3  4.16285005464222525e-08
3  4  -2.24927195648180878e-08
3  5  -3.12808134100771259e-07
4  0  7.38804972598725512e-07
4  1  -3.32669351637170213e-07
4  2  -9.02670785636059842e-08
4  3  -2.24927195648178098e-08
4  4  1.33252843095861563e-08
4  5  3.21459452773628270e-07
5  0  6.43174255752975884e-06
5  1  -4.60366236840294155e-06
5  2  -1.55547667785880117e-06
5  3  -3.12808134100776129e-07
5  4  3.21459452773624988e-07
5  5  2.21786560533371882e-05
