numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.17079765523432657e-04
0  1  6.60694669700058701e-05
0  2  9.85689278426532258e-06
0  3  -1.83962149643048076e-06
0  4  -1.41075873540429140e-05
0  5  -1.29409673168195602e-05
1  0  6.60694669700053958e-05
1  1  7.70458500568303836e-04
1  2  1.23553038857290426e-05
1  3  -1.23810097657510736e-04
1  4  -3.00678427404869333e-04
1  5  4.22218362370441625e-04
2  0  9.85689278426531073e-06
2  1  1.23553038857289630e-05
2  2  6.30045918691073223e-05
2  3  6.15054740965536564e-05
2  4  9.02433748475496708e-05
2  5  1.23195148417574705e-06
3  0  -1.83962149643046043e-06
3  1  -1.23810097657510817e-04
3  2  6.15054740965536971e-05
3  3  8.51058268721252873e-05
3  4  1.46596501620487068e-04
3  5  -7.05436891269979165e-05
4  0  -1.41075873540428293e-05
4  1  -3.00678427404869333e-04
4  2  9.02433748475496708e-05
4  3  1.46596501620487014e-04
4  4  2.66895591429720965e-04
4  5  -1.60026501406741501e-04
5  0  -1.29409673168195991e-05
5  1  4.22218362370441896e-04
5  2  1.23195148417570047e-06
5  3  -7.05436891269978623e-05
5  4  -1.60026501406741528e-04
5  5  4.46043497567365644e-04
