numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.98371107537885323e-05
0  1  -4.14975938425452208e-06
0  2  -9.47355280560914716e-06
0  3  -8.36768773875373623e-06
0  4  -1.24964850756974324e-05
0  5  -2.30635525004016518e-06
1  0  -4.14975938425452208e-06
1  1  9.46165543230335456e-07
1  2  2.01654561045610156e-06
1  3  1.77248329330484253e-06
1  4  2.63954839008935888e-06
1  5  4.83129592068808260e-07
2  0  -9.47355280560915224e-06
2  1  2.01654561045610241e-06
2  2  4.53973145966942772e-06
2  3  4.00594167981186598e-06
2  4  5.97921331431225540e-06
2  5  1.10173300377585502e-06
3  0  -8.36768773875373961e-06
3  1  1.77248329330484486e-06
3  2  4.00594167981186598e-06
3  3  3.53587481354898609e-06
3  4  5.27843040369306820e-06
3  5  9.73052524817466407e-07
4  0  -1.24964850756974273e-05
4  1  2.63954839008935846e-06
4  2  5.97921331431225540e-06
4  3  5.27843040369306904e-06
4  4  7.88047745472193882e-06
4  5  1.45311413431122186e-06
5  0  -2.30635525004015756e-06
5  1  4.83129592068804554e-07
5  2  1.10173300377585692e-06
5  3  9.73052524817467889e-07
5  4  1.45311413431122630e-06
5  5  2.68153210866022923e-07
