numXbins 6
numYbins 6
xbin  ybin  z
0  0  3.40143953951105432e-05
0  1  5.28735575736047171e-06
0  2  4.16112780903795580e-06
0  3  9.64066250998361291e-06
0  4  4.26734854131146748e-05
0  5  -4.58811955343296979e-05
1  0  5.28735575736047171e-06
1  1  3.74562701468589269e-06
1  2  3.66292190450287537e-06
1  3  4.50387927696127311e-06
1  4  3.98950578679602389e-06
1  5  -1.21107460652009252e-05
2  0  4.16112780903795664e-06
2  1  3.66292190450287537e-06
2  2  3.87675891654470606e-06
2  3  5.52788613535439715e-06
2  4  6.72274725906262373e-07
2  5  -1.12747944992318995e-05
3  0  9.64066250998361461e-06
3  1  4.50387927696127311e-06
3  2  5.52788613535439715e-06
3  3  1.19033081590695910e-05
3  4  6.09087126599867159e-07
3  5  -2.06284275479014131e-05
4  0  4.26734854131146748e-05
4  1  3.98950578679602558e-06
4  2  6.72274725906263220e-07
4  3  6.09087126599868006e-07
4  4  7.20971980007236162e-05
4  5  -4.71276569603099556e-05
5  0  -4.58811955343296979e-05
5  1  -1.21107460652009269e-05
5  2  -1.12747944992318995e-05
5  3  -2.06284275479014131e-05
5  4  -4.71276569603099556e-05
5  5  1.13887054604797466e-04
