numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.36726590008316980e-05
0  1  4.43433014604811478e-06
0  2  4.25768736813905977e-06
0  3  1.95202931598974022e-05
0  4  5.59426761171585106e-05
0  5  -9.08196725211476974e-05
1  0  4.43433014604811478e-06
1  1  6.91601911533308250e-06
1  2  7.14415415719809366e-06
1  3  8.59776801947229817e-06
1  4  9.24945058706337705e-07
1  5  -1.50319220661402553e-05
2  0  4.25768736813905977e-06
2  1  7.14415415719809366e-06
2  2  8.09199592001582788e-06
2  3  1.22693984923664822e-05
2  4  -3.87668113683572659e-06
2  5  -1.56460225776242343e-05
3  0  1.95202931598974022e-05
3  1  8.59776801947229817e-06
3  2  1.22693984923664822e-05
3  3  3.15755732499082306e-05
3  4  -5.46041278800042062e-06
3  5  -4.41063057762064461e-05
4  0  5.59426761171585106e-05
4  1  9.24945058706337705e-07
4  2  -3.87668113683572490e-06
4  3  -5.46041278800042062e-06
4  4  9.10488566887348981e-05
4  5  -8.29543181337615818e-05
5  0  -9.08196725211476974e-05
5  1  -1.50319220661402570e-05
5  2  -1.56460225776242343e-05
5  3  -4.41063057762064461e-05
5  4  -8.29543181337615818e-05
5  5  2.74110434028690365e-04
