numXbins 6
numYbins 6
xbin  ybin  z
0  0  3.52560216386833210e-06
0  1  1.09725033329758872e-05
0  2  1.33496925874368900e-05
0  3  2.23373931578433410e-05
0  4  -1.92115247988467942e-05
0  5  -1.29690799340407816e-05
1  0  1.09725033329758584e-05
1  1  3.41490116570803451e-05
1  2  4.15473838514826636e-05
1  3  6.95192223859730768e-05
1  4  -5.97907846912615551e-05
1  5  -4.03628277348675431e-05
2  0  1.33496925874368663e-05
2  1  4.15473838514826568e-05
2  2  5.05486109594196638e-05
2  3  8.45805391538395819e-05
2  4  -7.27444386178637974e-05
2  5  -4.91074211479884407e-05
3  0  2.23373931578433342e-05
3  1  6.95192223859731039e-05
3  2  8.45805391538395954e-05
3  3  1.41524514082044806e-04
3  4  -1.21719741095986517e-04
3  5  -8.21690661388494483e-05
4  0  -1.92115247988467875e-05
4  1  -5.97907846912615280e-05
4  2  -7.27444386178637703e-05
4  3  -1.21719741095986612e-04
4  4  1.04686424599804813e-04
4  5  7.06704242822667222e-05
5  0  -1.29690799340407477e-05
5  1  -4.03628277348675363e-05
5  2  -4.91074211479884272e-05
5  3  -8.21690661388494348e-05
5  4  7.06704242822667493e-05
5  5  4.77073210526374739e-05
