numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.02930723131849382e-04
0  1  5.71023034891081897e-05
0  2  4.79123665830232868e-05
0  3  3.55946889405948247e-05
0  4  9.63091155676684338e-05
0  5  -2.16497554523709541e-04
1  0  5.71023034891081897e-05
1  1  3.16783265923960145e-05
1  2  2.65800765239027232e-05
1  3  1.97466671625600271e-05
1  4  5.34288711725849756e-05
1  5  -1.20105141467109107e-04
2  0  4.79123665830232936e-05
2  1  2.65800765239027232e-05
2  2  2.23023291951952776e-05
2  3  1.65686758339965624e-05
2  4  4.48301295275469686e-05
2  5  -1.00775646775364043e-04
3  0  3.55946889405948450e-05
3  1  1.97466671625600339e-05
3  2  1.65686758339965726e-05
3  3  1.23090739307714764e-05
3  4  3.33048569607709050e-05
3  5  -7.48674727544630588e-05
4  0  9.63091155676683796e-05
4  1  5.34288711725849756e-05
4  2  4.48301295275469822e-05
4  3  3.33048569607708711e-05
4  4  9.01134807878994519e-05
4  5  -2.02570110889367655e-04
5  0  -2.16497554523709676e-04
5  1  -1.20105141467109135e-04
5  2  -1.00775646775364084e-04
5  3  -7.48674727544630588e-05
5  4  -2.02570110889367764e-04
5  5  4.55366383219778302e-04
