numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.43983280921821665e-04
0  1  1.24051726957997710e-05
0  2  1.85049594388680829e-05
0  3  1.14730265482179474e-04
0  4  1.89506452142306625e-04
0  5  -6.38444860066636997e-04
1  0  1.24051726957997829e-05
1  1  6.30733011832583678e-07
1  2  9.40872738085215815e-07
1  3  5.83338641633168601e-06
1  4  9.63533344133897281e-06
1  5  -3.24613174966284683e-05
2  0  1.85049594388680930e-05
2  1  9.40872738085213168e-07
2  2  1.40351225108689993e-06
2  3  8.70173932056675098e-06
2  4  1.43731537548298293e-05
2  5  -4.84229747007646849e-05
3  0  1.14730265482179474e-04
3  1  5.83338641633168263e-06
3  2  8.70173932056674589e-06
3  3  5.39505566442036280e-05
3  4  8.91131780945248440e-05
3  5  -3.00221179149767162e-04
4  0  1.89506452142306625e-04
4  1  9.63533344133897111e-06
4  2  1.43731537548298192e-05
4  3  8.91131780945248576e-05
4  4  1.47193263685439448e-04
4  5  -4.95892258939200975e-04
5  0  -6.38444860066636997e-04
5  1  -3.24613174966284683e-05
5  2  -4.84229747007646510e-05
5  3  -3.00221179149767162e-04
5  4  -4.95892258939200975e-04
5  5  1.67065479981030624e-03
