numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.23791099568968603e-06
0  1  1.98000430927199409e-06
0  2  1.93252474971493521e-06
0  3  3.10546869344206734e-06
0  4  4.41644875805172388e-06
0  5  2.03525711112908420e-06
1  0  1.98000430927199325e-06
1  1  7.48469584145626250e-07
1  2  7.30521640279708675e-07
1  3  1.17391101154343508e-06
1  4  1.66947998540206874e-06
1  5  7.69355923349637184e-07
2  0  1.93252474971493394e-06
2  1  7.30521640279708357e-07
2  2  7.13004079552715222e-07
2  3  1.14576118503737154e-06
2  4  1.62944665111838762e-06
2  5  7.50907135025188671e-07
3  0  3.10546869344206692e-06
3  1  1.17391101154343466e-06
3  2  1.14576118503737217e-06
3  3  1.84117977832858225e-06
3  4  2.61843764920920092e-06
3  5  1.20666946172201776e-06
4  0  4.41644875805172388e-06
4  1  1.66947998540206917e-06
4  2  1.62944665111838805e-06
4  3  2.61843764920920134e-06
4  4  3.72381654605193320e-06
4  5  1.71606748342206896e-06
5  0  2.03525711112908547e-06
5  1  7.69355923349636654e-07
5  2  7.50907135025187824e-07
5  3  1.20666946172201670e-06
5  4  1.71606748342206642e-06
5  5  7.90825104094014750e-07
