numXbins 6
numYbins 6
xbin  ybin  z
0  0  6.70591116299083974e-05
0  1  2.27633009502929037e-05
0  2  2.05516826971971447e-05
0  3  2.93787015536503058e-05
0  4  6.06268656125688316e-05
0  5  -1.91912973458906313e-04
1  0  2.27633009502929037e-05
1  1  8.18688895210311363e-06
1  2  7.49633075919771019e-06
1  3  1.06703969213865965e-05
1  4  1.99239281001209180e-05
1  5  -6.58127866514730868e-05
2  0  2.05516826971971413e-05
2  1  7.49633075919770850e-06
2  2  6.92622529730194229e-06
2  3  9.98807570477676742e-06
2  4  1.76171297332269223e-05
2  5  -5.79500195074023454e-05
3  0  2.93787015536502990e-05
3  1  1.06703969213865965e-05
3  2  9.98807570477676742e-06
3  3  1.48936011524402267e-05
3  4  2.45389095830502684e-05
3  5  -7.65870221108565658e-05
4  0  6.06268656125688316e-05
4  1  1.99239281001209146e-05
4  2  1.76171297332269223e-05
4  3  2.45389095830502684e-05
4  4  5.91406442561942641e-05
4  5  -1.64302407883825849e-04
5  0  -1.91912973458906313e-04
5  1  -6.58127866514730868e-05
5  2  -5.79500195074023454e-05
5  3  -7.65870221108565658e-05
5  4  -1.64302407883825849e-04
5  5  7.99048095724191930e-04
