numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.98142479935456644e-05
0  1  9.21695932042313429e-06
0  2  9.72548891325658598e-06
0  3  1.97069476744817120e-05
0  4  2.21150895918098764e-05
0  5  3.41021641639408773e-05
1  0  9.21695932042313599e-06
1  1  2.86228705121126763e-06
1  2  3.02264788171205869e-06
1  3  6.11792225043937583e-06
1  4  6.77237806943608275e-06
1  5  1.05511056296100302e-05
2  0  9.72548891325658768e-06
2  1  3.02264788171205954e-06
2  2  3.19245212400844863e-06
2  3  6.46030766212755030e-06
2  4  7.13385201919566558e-06
2  5  1.11348617729991276e-05
3  0  1.97069476744817052e-05
3  1  6.11792225043937160e-06
3  2  6.46030766212754946e-06
3  3  1.30769006775213546e-05
3  4  1.44900592082381609e-05
3  5  2.25581934846122159e-05
4  0  2.21150895918098764e-05
4  1  6.77237806943608190e-06
4  2  7.13385201919566219e-06
4  3  1.44900592082381507e-05
4  4  1.67258117903225550e-05
4  5  2.52529914110539583e-05
5  0  3.41021641639409044e-05
5  1  1.05511056296100353e-05
5  2  1.11348617729991276e-05
5  3  2.25581934846122193e-05
5  4  2.52529914110539447e-05
5  5  3.90124446739409782e-05
