numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.01207932894779669e-04
0  1  6.07898008759817944e-05
0  2  5.84907982226905051e-05
0  3  1.03597105640827335e-04
0  4  1.82904335581064899e-04
0  5  1.06058987472104974e-04
1  0  6.07898008759817741e-05
1  1  2.02398870290794003e-05
1  2  1.97659580632096662e-05
1  3  3.40286774763100708e-05
1  4  5.29098608633515625e-05
1  5  3.07881158442782524e-05
2  0  5.84907982226904916e-05
2  1  1.97659580632096493e-05
2  2  1.94750225842860977e-05
2  3  3.38055206985940162e-05
2  4  4.96750854018919127e-05
2  5  3.13854066980442996e-05
3  0  1.03597105640827294e-04
3  1  3.40286774763100573e-05
3  2  3.38055206985940230e-05
3  3  6.04428868653125538e-05
3  4  8.66059746643981014e-05
3  5  6.22154742367370518e-05
4  0  1.82904335581064817e-04
4  1  5.29098608633515692e-05
4  2  4.96750854018918788e-05
4  3  8.66059746643981285e-05
4  4  1.78335612703708630e-04
4  5  8.02965156047142161e-05
5  0  1.06058987472105123e-04
5  1  3.07881158442783066e-05
5  2  3.13854066980442996e-05
5  3  6.22154742367370247e-05
5  4  8.02965156047142026e-05
5  5  3.39262270232701727e-04
