numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.15810356513685350e-05
0  1  1.53891333658526238e-05
0  2  1.58456001848108725e-05
0  3  3.17263745104755159e-05
0  4  4.73386393630949380e-05
0  5  7.33208485979146307e-05
1  0  1.53891333658526170e-05
1  1  4.77326541415256059e-06
1  2  4.96061977669859481e-06
1  3  9.86721946701054614e-06
1  4  1.34247090531384002e-05
1  5  2.17834049920434968e-05
2  0  1.58456001848108792e-05
2  1  4.96061977669859989e-06
2  2  5.17559328257841681e-06
2  3  1.03060859032504360e-05
2  4  1.35930644469393387e-05
2  5  2.23348168823380009e-05
3  0  3.17263745104755362e-05
3  1  9.86721946701055800e-06
3  2  1.03060859032504394e-05
3  3  2.06243587822482561e-05
3  4  2.73615614020333115e-05
3  5  4.46486931385024289e-05
4  0  4.73386393630949515e-05
4  1  1.34247090531383951e-05
4  2  1.35930644469393302e-05
4  3  2.73615614020332912e-05
4  4  4.81820900163170597e-05
4  5  7.15364958730368061e-05
5  0  7.33208485979146442e-05
5  1  2.17834049920435036e-05
5  2  2.23348168823379942e-05
5  3  4.46486931385024492e-05
5  4  7.15364958730368332e-05
5  5  1.34895653508951654e-04
