numXbins 5
numYbins 5
xbin  ybin  z
0  0  9.87510371028054102e-05
0  1  -3.38034263394178114e-05
0  2  8.80758276701149934e-05
0  3  4.12664152732633959e-05
0  4  1.07175678712138645e-04
1  0  -3.38034263394178182e-05
1  1  6.79786019383768746e-05
1  2  -6.76862778663070463e-05
1  3  -1.38362949802526326e-05
1  4  2.94514563228207094e-05
2  0  8.80758276701149934e-05
2  1  -6.76862778663070463e-05
2  2  1.43320718959293064e-04
2  3  8.99173573933479144e-06
2  4  2.02898695215692877e-05
3  0  4.12664152732633959e-05
3  1  -1.38362949802526326e-05
3  2  8.99173573933479313e-06
3  3  9.47725633290748005e-05
3  4  7.57818471583800521e-05
4  0  1.07175678712138645e-04
4  1  2.94514563228207162e-05
4  2  2.02898695215692910e-05
4  3  7.57818471583800656e-05
4  4  2.20211922807249827e-04
