numXbins 5
numYbins 5
xbin  ybin  z
0  0  9.38401691312519751e-06
0  1  -3.48191164099764975e-06
0  2  8.24876684101119694e-06
0  3  4.06737388928915233e-06
0  4  1.01122165590519773e-05
1  0  -3.48191164099764975e-06
1  1  6.63154178169268724e-06
1  2  -6.41156175696772617e-06
1  3  -1.54455334552954198e-06
1  4  2.35061901267526221e-06
2  0  8.24876684101119524e-06
2  1  -6.41156175696772617e-06
2  2  1.29289849830354971e-05
2  3  1.16827752383766031e-06
2  4  2.25445559826657593e-06
3  0  4.06737388928915148e-06
3  1  -1.54455334552954219e-06
3  2  1.16827752383766031e-06
3  3  8.49372757600148799e-06
3  4  7.03157066979664799e-06
4  0  1.01122165590519773e-05
4  1  2.35061901267526221e-06
4  2  2.25445559826657635e-06
4  3  7.03157066979664884e-06
4  4  2.02275417881872183e-05
