numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.75727397531704372e-06
0  1  3.71125308766074300e-06
0  2  5.64149478544687017e-06
0  3  8.46948065538385987e-06
0  4  1.54953520000781365e-05
1  0  3.71125308766074173e-06
1  1  1.57279531501385455e-06
1  2  2.39081419634969023e-06
1  3  3.58928889535379861e-06
1  4  6.56678929045360506e-06
2  0  5.64149478544687017e-06
2  1  2.39081419634969023e-06
2  2  3.63428887847168065e-06
2  3  5.45609639340550357e-06
2  4  9.98220996094161310e-06
3  0  8.46948065538385987e-06
3  1  3.58928889535379988e-06
3  2  5.45609639340550442e-06
3  3  8.19114518674453903e-06
3  4  1.49861228942850501e-05
4  0  1.54953520000781365e-05
4  1  6.56678929045360760e-06
4  2  9.98220996094161141e-06
4  3  1.49861228942850467e-05
4  4  2.74178853240266259e-05
