numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.96583732008885051e-08
0  1  1.17119015415471943e-07
0  2  1.01135253701678825e-06
0  3  -5.54544141985841187e-07
0  4  -6.68439102318701328e-07
1  0  1.17119015415471943e-07
1  1  1.96916223299218150e-07
1  2  1.70042175736333637e-06
1  3  -9.32374112821796412e-07
1  4  -1.12386962157416337e-06
2  0  1.01135253701677533e-06
2  1  1.70042175736333933e-06
2  2  1.46835750984364494e-05
2  3  -8.05128800909103435e-06
2  4  -9.70490051528402740e-06
3  0  -5.54544141985841081e-07
3  1  -9.32374112821795565e-07
3  2  -8.05128800909103266e-06
3  3  4.41467681887877194e-06
3  4  5.32138451462327473e-06
4  0  -6.68439102318702810e-07
4  1  -1.12386962157416294e-06
4  2  -9.70490051528402740e-06
4  3  5.32138451462326964e-06
4  4  6.41431622613413691e-06
