numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.06911992209286538e-04
0  1  2.61986177230529591e-04
0  2  3.98332655415455084e-04
0  3  6.05632265602686157e-04
0  4  1.08910383524665321e-03
1  0  2.61986177230529537e-04
1  1  1.21640417384184636e-04
1  2  1.72182314887789860e-04
1  3  2.62544319555245572e-04
1  4  4.75864024340033403e-04
2  0  3.98332655415455084e-04
2  1  1.72182314887789887e-04
2  2  2.63859731642929532e-04
2  3  3.97328693899394773e-04
2  4  7.13208945678064725e-04
3  0  6.05632265602686157e-04
3  1  2.62544319555245626e-04
3  2  3.97328693899394773e-04
3  3  6.06996232336551745e-04
3  4  1.08802921550946109e-03
4  0  1.08910383524665299e-03
4  1  4.75864024340033511e-04
4  2  7.13208945678064834e-04
4  3  1.08802921550946109e-03
4  4  1.95957557898902282e-03
