numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.23115992664590392e-08
0  1  -6.66007165382882641e-08
0  2  1.51893571018140696e-09
0  3  7.09657842888787112e-09
0  4  5.60457690932685186e-08
1  0  -6.66007165382882641e-08
1  1  7.16277253901618841e-08
1  2  -4.77182883805651625e-10
1  3  -6.59105796941273241e-09
1  4  -5.91324069674108412e-08
2  0  1.51893571018140427e-09
2  1  -4.77182883805648834e-10
2  2  3.00550420451438793e-09
2  3  2.74705936919957714e-09
2  4  3.36324997690146275e-09
3  0  7.09657842888786781e-09
3  1  -6.59105796941272579e-09
3  2  2.74705936919958045e-09
3  3  3.04028427061108047e-09
3  4  8.11468579700956272e-09
4  0  5.60457690932685318e-08
4  1  -5.91324069674108478e-08
4  2  3.36324997690146854e-09
4  3  8.11468579700956603e-09
4  4  5.17535319929048197e-08
