numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.17550891169063733e-08
0  1  -6.11117344712451915e-08
0  2  -3.81539483795169058e-08
0  3  -2.29244935081384489e-08
0  4  5.75964205122699192e-08
1  0  -6.11117344712451915e-08
1  1  8.94632672302270632e-08
1  2  5.60203131768666189e-08
1  3  3.36408391286023206e-08
1  4  -8.46977308292132750e-08
2  0  -3.81539483795169323e-08
2  1  5.60203131768666917e-08
2  2  3.63476236477254773e-08
2  3  2.16857481434898815e-08
2  4  -5.59519055616613499e-08
3  0  -2.29244935081384423e-08
3  1  3.36408391286022942e-08
3  2  2.16857481434898848e-08
3  3  1.29533810945717721e-08
3  4  -3.32747611295584655e-08
4  0  5.75964205122699258e-08
4  1  -8.46977308292133279e-08
4  2  -5.59519055616613235e-08
4  3  -3.32747611295584655e-08
4  4  8.68868079416668071e-08
