numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.48828619819509920e-05
0  1  2.26473215069456274e-05
0  2  5.02242360813941584e-05
0  3  7.53552096538942067e-05
0  4  1.23793819757549411e-04
1  0  2.26473215069456308e-05
1  1  1.02405428428731561e-05
1  2  1.57199183771825967e-05
1  3  2.49783747598747309e-05
1  4  3.87994956868187386e-05
2  0  5.02242360813941584e-05
2  1  1.57199183771825899e-05
2  2  3.57962261445199202e-05
2  3  5.07016817743931067e-05
2  4  8.10849673134949814e-05
3  0  7.53552096538942067e-05
3  1  2.49783747598747174e-05
3  2  5.07016817743931067e-05
3  3  8.11640437278157451e-05
3  4  1.25831144640708531e-04
4  0  1.23793819757549438e-04
4  1  3.87994956868187183e-05
4  2  8.10849673134950085e-05
4  3  1.25831144640708531e-04
4  4  2.07701648606643325e-04
