numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.98549574221732652e-06
0  1  8.14687611912103991e-07
0  2  1.43861110263711501e-06
0  3  1.95247903575042992e-06
0  4  3.58887190496801360e-06
1  0  8.14687611912103885e-07
1  1  3.36465983263400917e-07
1  2  5.91284324218447732e-07
1  3  8.01165555302198422e-07
1  4  1.47282258911395409e-06
2  0  1.43861110263711480e-06
2  1  5.91284324218447838e-07
2  2  1.04281285706949561e-06
2  3  1.41470004926929173e-06
2  4  2.60046214862226369e-06
3  0  1.95247903575042992e-06
3  1  8.01165555302198740e-07
3  2  1.41470004926929173e-06
3  3  1.92001165647564349e-06
3  4  3.52919550628620611e-06
4  0  3.58887190496801445e-06
4  1  1.47282258911395473e-06
4  2  2.60046214862226412e-06
4  3  3.52919550628620653e-06
4  4  6.48707170942416348e-06
