numXbins 4
numYbins 4
xbin  ybin  z
0  0  6.40224993177384533e-06
0  1  -1.26369317590147809e-06
0  2  -6.61877141233146401e-07
0  3  -2.50395363204221572e-06
1  0  -1.26369317590147852e-06
1  1  1.22634443358557656e-05
1  2  4.12778392573359123e-06
1  3  5.81868362044667008e-07
2  0  -6.61877141233146295e-07
2  1  4.12778392573358953e-06
2  2  1.81530323799486239e-05
2  3  1.60005121404680492e-06
3  0  -2.50395363204221572e-06
3  1  5.81868362044667008e-07
3  2  1.60005121404680619e-06
3  3  9.18436441802375588e-06
