numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.91499664279747917e-06
0  1  2.76054300252357352e-06
0  2  5.61589451167497004e-06
0  3  8.19435785370928099e-06
1  0  2.76054300252357521e-06
1  1  3.97943134649546722e-06
1  2  8.09553288535681051e-06
1  3  1.18124892376761904e-05
2  0  5.61589451167497174e-06
2  1  8.09553288535681051e-06
2  2  1.64690999772141069e-05
2  3  2.40306683932987758e-05
3  0  8.19435785370927929e-06
3  1  1.18124892376761887e-05
3  2  2.40306683932987792e-05
3  3  3.50640304708608216e-05
