numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.28490617217388828e-05
0  1  -1.05209800286300880e-05
0  2  -9.41236797548996225e-06
0  3  -2.80219715402119362e-05
1  0  -1.05209800286300880e-05
1  1  4.84444491029232485e-06
1  2  4.33397820436676575e-06
1  3  1.29028756860031779e-05
2  0  -9.41236797548996394e-06
2  1  4.33397820436676490e-06
2  2  3.87730017034970232e-06
2  3  1.15432795773948105e-05
3  0  -2.80219715402119396e-05
3  1  1.29028756860031745e-05
3  2  1.15432795773948105e-05
3  3  3.43660014823877626e-05
