numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.40527878212719095e-05
0  1  -4.50616551162611668e-06
0  2  2.23642374119576110e-05
0  3  3.34606022235711496e-05
1  0  -4.50616551162611499e-06
1  1  8.44206824134155600e-07
1  2  -4.18982431759766233e-06
1  3  -6.26867092739868729e-06
2  0  2.23642374119576143e-05
2  1  -4.18982431759766233e-06
2  2  2.07942263796993739e-05
2  3  3.11116057579495663e-05
3  0  3.34606022235711496e-05
3  1  -6.26867092739868899e-06
3  2  3.11116057579495528e-05
3  3  4.65481136525009259e-05
