numXbins 4
numYbins 4
xbin  ybin  z
0  0  3.03912638583122704e-06
0  1  -1.81914525427514624e-07
0  2  -2.37422652897056830e-08
0  3  2.50056501951193181e-05
1  0  -1.81914525427513565e-07
1  1  1.08889497704991143e-08
1  2  1.42115278354044777e-09
1  3  -1.49677585290925755e-06
2  0  -2.37422652897028970e-08
2  1  1.42115278353767010e-09
2  2  1.85479341606209797e-10
2  3  -1.95349158048174021e-07
3  0  2.50056501951193080e-05
3  1  -1.49677585290924972e-06
3  2  -1.95349158048162216e-07
3  3  2.05744171942243728e-04
