numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.11815934006418774e-04
0  1  3.63257979117248333e-05
0  2  2.71002036662396973e-05
0  3  7.88780627787041773e-05
1  0  3.63257979117248266e-05
1  1  1.69311380485917599e-04
1  2  1.83520522317742068e-04
1  3  7.58333033728652173e-05
2  0  2.71002036662397176e-05
2  1  1.83520522317742041e-04
2  2  2.69047794855068335e-04
2  3  1.47799396901216807e-04
3  0  7.88780627787041637e-05
3  1  7.58333033728652716e-05
3  2  1.47799396901216807e-04
3  3  8.03890206839463122e-04
