numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.21928840266609333e-04
0  1  1.80917347241613965e-04
0  2  3.87061048153129175e-04
0  3  5.67388999043114779e-04
1  0  1.80917347241614046e-04
1  1  2.77693655295047418e-04
1  2  5.86818370035423220e-04
1  3  8.58284946676566738e-04
2  0  3.87061048153129013e-04
2  1  5.86818370035423220e-04
2  2  1.25354928658398968e-03
2  3  1.83234165594601097e-03
3  0  5.67388999043114779e-04
3  1  8.58284946676566847e-04
3  2  1.83234165594601097e-03
3  3  2.69040557168539292e-03
