numXbins 4
numYbins 4
xbin  ybin  z
0  0  5.18085160409921193e-07
0  1  6.77384576954661530e-07
0  2  2.47052497672726468e-07
0  3  -2.39445012606903555e-07
1  0  6.77384576954661636e-07
1  1  8.86707456045803055e-07
1  2  3.23217095526022233e-07
1  3  -3.24524932151753464e-07
2  0  2.47052497672726468e-07
2  1  3.23217095526022233e-07
2  2  1.17847667631918853e-07
2  3  -1.16396012602785262e-07
3  0  -2.39445012606903608e-07
3  1  -3.24524932151753464e-07
3  2  -1.16396012602785249e-07
3  3  2.36553727586880043e-07
