numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.42547829427056354e-07
0  1  3.14423009069697671e-07
0  2  1.82761776992151178e-08
0  3  -1.81274834434135746e-07
1  0  3.14423009069697724e-07
1  1  4.12955065486731183e-07
1  2  -4.17601600793592938e-08
1  3  -3.73448369132129581e-07
2  0  1.82761776992150517e-08
2  1  -4.17601600793593468e-08
2  2  8.00954971451453806e-07
2  3  1.67774411555030384e-06
3  0  -1.81274834434135878e-07
3  1  -3.73448369132129634e-07
3  2  1.67774411555030300e-06
3  3  3.71342531858511896e-06
