numXbins 4
numYbins 4
xbin  ybin  z
0  0  9.13817130681918153e-09
0  1  2.17930815669700808e-08
0  2  -8.63647959754243389e-08
0  3  -2.15938764320686942e-07
1  0  2.17930815669700808e-08
1  1  5.19730308750713934e-08
1  2  -2.05966115716215908e-07
1  3  -5.14978927905664298e-07
2  0  -8.63647959754243256e-08
2  1  -2.05966115716215855e-07
2  2  8.16236958349666780e-07
2  3  2.04085083818496487e-06
3  0  -2.15938764320686942e-07
3  1  -5.14978927905664298e-07
3  2  2.04085083818496445e-06
3  3  5.10278085045680177e-06
