numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.26360866441587104e-08
0  1  2.16288540998650565e-08
0  2  -9.16797453412182752e-08
0  3  -2.24824643847201009e-07
1  0  2.16288540998650499e-08
1  1  4.20853841376217568e-08
1  2  -1.82035231730565301e-07
1  3  -4.50194945135213750e-07
2  0  -9.16797453412183017e-08
2  1  -1.82035231730565301e-07
2  2  7.89679296963442381e-07
2  3  1.95532521789594194e-06
3  0  -2.24824643847201009e-07
3  1  -4.50194945135213697e-07
3  2  1.95532521789594236e-06
3  3  4.84397482770248082e-06
