numXbins 7
numYbins 7
xbin  ybin  z
0  0  3.43337274623941222e-06
0  1  3.18995537707723773e-06
0  2  2.75890311220342410e-06
0  3  2.39381422840020592e-06
0  4  2.96903278349837882e-06
0  5  2.60784215822036968e-06
0  6  -7.26023527306617012e-06
1  0  3.18995537707723773e-06
1  1  3.15539594792192348e-06
1  2  2.79889650622612077e-06
1  3  2.47913217036174673e-06
1  4  3.20338118881143687e-06
1  5  3.45074226013822671e-06
1  6  -6.49207962281140001e-06
2  0  2.75890311220342410e-06
2  1  2.79889650622612077e-06
2  2  2.59582342525780501e-06
2  3  2.41848703078277615e-06
2  4  3.31811080663726446e-06
2  5  4.10015504179153027e-06
2  6  -5.56801197916263735e-06
3  0  2.39381422840020592e-06
3  1  2.47913217036174673e-06
3  2  2.41848703078277658e-06
3  3  2.40592538609924059e-06
3  4  3.57654762108606049e-06
3  5  4.86359457939284481e-06
3  6  -4.74426048106859500e-06
4  0  2.96903278349837840e-06
4  1  3.20338118881143729e-06
4  2  3.31811080663726446e-06
4  3  3.57654762108606006e-06
4  4  5.86046256827782660e-06
4  5  8.62039629321812420e-06
4  6  -5.55465333943812841e-06
5  0  2.60784215822036968e-06
5  1  3.45074226013822586e-06
5  2  4.10015504179152943e-06
5  3  4.86359457939284397e-06
5  4  8.62039629321812420e-06
5  5  1.46649256282114831e-05
5  6  -4.09938861340912895e-06
6  0  -7.26023527306617012e-06
6  1  -6.49207962281140001e-06
6  2  -5.56801197916263735e-06
6  3  -4.74426048106859500e-06
6  4  -5.55465333943812841e-06
6  5  -4.09938861340913065e-06
6  6  1.58965778203569016e-05
