numXbins 7
numYbins 7
xbin  ybin  z
0  0  7.56362070481185019e-06
0  1  6.66192929581808960e-06
0  2  5.74692092143851484e-06
0  3  4.84311818516300435e-06
0  4  5.61345397861571867e-06
0  5  5.21374019225266215e-06
0  6  6.06033668865506089e-06
1  0  6.66192929581809044e-06
1  1  5.86773235657423393e-06
1  2  5.06180602405465587e-06
1  3  4.26574945783844046e-06
1  4  4.94425024341525818e-06
1  5  4.59218803838951389e-06
1  6  5.33785816401229260e-06
2  0  5.74692092143851569e-06
2  1  5.06180602405465502e-06
2  2  4.36657275215512063e-06
2  3  3.67985364543805156e-06
2  4  4.26516312362353526e-06
2  5  3.96145626006070880e-06
2  6  4.60470944620954145e-06
3  0  4.84311818516300520e-06
3  1  4.26574945783844131e-06
3  2  3.67985364543805114e-06
3  3  3.10113299845065022e-06
3  4  3.59439243537340858e-06
3  5  3.33844873021594177e-06
3  6  3.88053922460221960e-06
4  0  5.61345397861571952e-06
4  1  4.94425024341525818e-06
4  2  4.26516312362353526e-06
4  3  3.59439243537340942e-06
4  4  4.16610864026933002e-06
4  5  3.86945508875797304e-06
4  6  4.49776931239280307e-06
5  0  5.21374019225266299e-06
5  1  4.59218803838951474e-06
5  2  3.96145626006070880e-06
5  3  3.33844873021594262e-06
5  4  3.86945508875797389e-06
5  5  3.59392516536655492e-06
5  6  4.17749940212136751e-06
6  0  6.06033668865506258e-06
6  1  5.33785816401229599e-06
6  2  4.60470944620954060e-06
6  3  3.88053922460222045e-06
6  4  4.49776931239280646e-06
6  5  4.17749940212137090e-06
6  6  4.85583323295059502e-06
