numXbins 7
numYbins 7
xbin  ybin  z
0  0  7.25499420563387935e-04
0  1  6.34821464462143265e-04
0  2  5.35566900524891434e-04
0  3  4.46176453824829772e-04
0  4  5.22046997708547583e-04
0  5  4.36705435556399284e-04
0  6  1.08159154287835947e-03
1  0  6.34821464462143265e-04
1  1  5.55477069063558008e-04
1  2  4.68628029839973062e-04
1  3  3.90410221975989833e-04
1  4  4.56797938371957500e-04
1  5  3.82122957346000419e-04
1  6  9.46406720306840763e-04
2  0  5.35566900524891434e-04
2  1  4.68628029839973062e-04
2  2  3.95357869087061475e-04
2  3  3.29369443571145293e-04
2  4  3.85377416668334391e-04
2  5  3.22377895742066397e-04
2  6  7.98435689725939782e-04
3  0  4.46176453824829772e-04
3  1  3.90410221975989833e-04
3  2  3.29369443571145293e-04
3  3  2.74395019906576365e-04
3  4  3.21054809370654461e-04
3  5  2.68570417949159207e-04
3  6  6.65170316350692362e-04
4  0  5.22046997708547583e-04
4  1  4.56797938371957500e-04
4  2  3.85377416668334391e-04
4  3  3.21054809370654461e-04
4  4  3.75648911759119233e-04
4  5  3.14239756853538132e-04
4  6  7.78279901682250776e-04
5  0  4.36705435556399284e-04
5  1  3.82122957346000419e-04
5  2  3.22377895742066397e-04
5  3  2.68570417949159207e-04
5  4  3.14239756853538132e-04
5  5  2.62869455218043971e-04
5  6  6.51050700302445180e-04
6  0  1.08159154287835947e-03
6  1  9.46406720306840763e-04
6  2  7.98435689725939782e-04
6  3  6.65170316350692362e-04
6  4  7.78279901682250776e-04
6  5  6.51050700302445180e-04
6  6  1.61246202611374794e-03
