numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.06630196367773036e-04
0  1  8.35873658431869328e-05
0  2  6.13288977942902250e-05
0  3  3.94265560931882466e-05
0  4  1.88238276225332052e-05
0  5  -6.81538314118932531e-05
0  6  -2.41643012309077630e-04
1  0  8.35873658431871496e-05
1  1  7.15173456570964106e-05
1  2  5.65436165111073670e-05
1  3  4.11155755445147047e-05
1  4  3.35960984497464578e-05
1  5  -1.34543683283346023e-05
1  6  -2.72905633677316989e-04
2  0  6.13288977942898998e-05
2  1  5.65436165111070349e-05
2  2  5.07511574575070438e-05
2  3  4.32510616196931023e-05
2  4  4.84258901515763080e-05
2  5  4.07856772434269169e-05
2  6  -3.01086300777599655e-04
3  0  3.94265560931882466e-05
3  1  4.11155755445145895e-05
3  2  4.32510616196932107e-05
3  3  4.43364491004632696e-05
3  4  6.52030619763149956e-05
3  5  9.18627636895158370e-05
3  6  -3.25195468023689485e-04
4  0  1.88238276225330934e-05
4  1  3.35960984497463426e-05
4  2  4.84258901515761996e-05
4  3  6.52030619763147110e-05
4  4  1.26985184580823612e-04
4  5  2.21174904014048251e-04
4  6  -5.14208966795042075e-04
5  0  -6.81538314118932531e-05
5  1  -1.34543683283344905e-05
5  2  4.07856772434269169e-05
5  3  9.18627636895157285e-05
5  4  2.21174904014048306e-04
5  5  5.07977310170746460e-04
5  6  -7.80192455377509545e-04
6  0  -2.41643012309077413e-04
6  1  -2.72905633677317206e-04
6  2  -3.01086300777599655e-04
6  3  -3.25195468023689810e-04
6  4  -5.14208966795042075e-04
6  5  -7.80192455377509328e-04
6  6  2.43523183696023630e-03
