numXbins 7
numYbins 7
xbin  ybin  z
0  0  5.19544181912854215e-08
0  1  3.66110930845694860e-08
0  2  2.73735869561357220e-08
0  3  1.50128303019240889e-08
0  4  -6.28272213575959922e-09
0  5  -5.36113150626185920e-08
0  6  6.98989677154251854e-08
1  0  3.66110930845694727e-08
1  1  2.70949278644733444e-08
1  2  2.10973843381478447e-08
1  3  1.32692508984389416e-08
1  4  1.94949912308328032e-09
1  5  -2.50132150098408414e-08
1  6  4.76407374964169550e-08
2  0  2.73735869561357187e-08
2  1  2.10973843381478381e-08
2  2  1.69444883006310639e-08
2  3  1.16625901486103225e-08
2  4  5.58552616462381937e-09
2  5  -1.04385057410719887e-08
2  6  3.45745442362466844e-08
3  0  1.50128303019240823e-08
3  1  1.32692508984389399e-08
3  2  1.16625901486103225e-08
3  3  9.92207633032354685e-09
3  4  1.14213226962483823e-08
3  5  1.10066166929572742e-08
3  6  1.68447611920706297e-08
4  0  -6.28272213575959674e-09
4  1  1.94949912308328363e-09
4  2  5.58552616462381937e-09
4  3  1.14213226962483807e-08
4  4  3.21376683803716590e-08
4  5  6.92973491105075815e-08
4  6  -1.64018669482573257e-08
5  0  -5.36113150626185920e-08
5  1  -2.50132150098408348e-08
5  2  -1.04385057410719920e-08
5  3  1.10066166929572775e-08
5  4  6.92973491105075948e-08
5  5  1.81066555266711183e-07
5  6  -8.80412518421991267e-08
6  0  6.98989677154251854e-08
6  1  4.76407374964169550e-08
6  2  3.45745442362466910e-08
6  3  1.68447611920706297e-08
6  4  -1.64018669482573290e-08
6  5  -8.80412518421991267e-08
6  6  9.60551961860071830e-08
