numXbins 7
numYbins 7
xbin  ybin  z
0  0  9.01503903965522801e-09
0  1  5.28884284753670555e-09
0  2  7.73497925342509877e-10
0  3  -9.01959978096182825e-09
0  4  -3.70091782302006665e-08
0  5  -6.68117292091381514e-08
0  6  -2.02825515208125571e-08
1  0  5.28884284753670389e-09
1  1  4.44034278653549443e-09
1  2  2.31424873238157528e-09
1  3  -2.58049850098474598e-09
1  4  -1.53882573082367398e-08
1  5  -2.64080769169711359e-08
1  6  -1.41737301203400123e-08
2  0  7.73497925342510187e-10
2  1  2.31424873238157693e-09
2  2  2.65418378406927854e-09
2  3  2.99701565788793178e-09
2  4  5.62080360237928637e-09
2  5  1.20554179279149008e-08
2  6  -4.90410840644764151e-09
3  0  -9.01959978096183322e-09
3  1  -2.58049850098474349e-09
3  2  2.99701565788793550e-09
3  3  1.45190350282044439e-08
3  4  4.98455453737137875e-08
3  5  9.27656606483648461e-08
3  6  1.56825284524058730e-08
4  0  -3.70091782302006732e-08
4  1  -1.53882573082367365e-08
4  2  5.62080360237928637e-09
4  3  4.98455453737137808e-08
4  4  1.81831854109510411e-07
4  5  3.34742991066949473e-07
4  6  7.25111656284656074e-08
5  0  -6.68117292091381250e-08
5  1  -2.64080769169711326e-08
5  2  1.20554179279149207e-08
5  3  9.27656606483648725e-08
5  4  3.34742991066949526e-07
5  5  6.17420295368782836e-07
5  6  1.28569460464538801e-07
6  0  -2.02825515208125637e-08
6  1  -1.41737301203400222e-08
6  2  -4.90410840644763986e-09
6  3  1.56825284524058730e-08
6  4  7.25111656284655941e-08
6  5  1.28569460464538775e-07
6  6  4.95009476529837083e-08
