numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.13726160071498442e-07
0  1  1.49044748051813172e-07
0  2  1.72400984064374906e-07
0  3  1.79402983516520982e-07
0  4  2.68044950529550089e-07
0  5  5.65008211327846032e-07
0  6  5.18939445496605317e-07
1  0  1.49044748051813040e-07
1  1  1.96792752991182266e-07
1  2  2.28010708309491693e-07
1  3  2.38176514559935034e-07
1  4  3.58462165890699150e-07
1  5  7.54922524096249237e-07
1  6  6.78320792270534134e-07
2  0  1.72400984064374985e-07
2  1  2.28010708309491720e-07
2  2  2.64278633397608276e-07
2  3  2.76294335549104669e-07
2  4  4.16497942053114527e-07
2  5  8.76974349321641648e-07
2  6  7.84155836132819568e-07
3  0  1.79402983516520982e-07
3  1  2.38176514559935034e-07
3  2  2.76294335549104669e-07
3  3  2.89411035150927922e-07
3  4  4.37858846813337845e-07
3  5  9.21543710380318683e-07
3  6  8.14901372698866793e-07
4  0  2.68044950529550513e-07
4  1  3.58462165890699309e-07
4  2  4.16497942053114580e-07
4  3  4.37858846813338057e-07
4  4  6.66988908956638298e-07
4  5  1.40262277778053436e-06
4  6  1.21436748360458953e-06
5  0  5.65008211327845926e-07
5  1  7.54922524096249026e-07
5  2  8.76974349321641754e-07
5  3  9.21543710380318895e-07
5  4  1.40262277778053415e-06
5  5  2.94989554634196463e-06
5  6  2.56057032293225485e-06
6  0  5.18939445496605211e-07
6  1  6.78320792270534240e-07
6  2  7.84155836132819463e-07
6  3  8.14901372698867110e-07
6  4  1.21436748360459059e-06
6  5  2.56057032293225401e-06
6  6  2.37012013778567861e-06
