numXbins 7
numYbins 7
xbin  ybin  z
0  0  9.30283346943141958e-06
0  1  8.54970512108172418e-06
0  2  7.43712658682813649e-06
0  3  6.82164418374843399e-06
0  4  9.79786602351378893e-06
0  5  1.08930422025089255e-05
0  6  6.31424344891930063e-06
1  0  8.54970512108172418e-06
1  1  7.85894075752102752e-06
1  2  6.83699923815101742e-06
1  3  6.27229944109055635e-06
1  4  9.01155470720898797e-06
1  5  1.00249570907776293e-05
1  6  5.80099197210278757e-06
2  0  7.43712658682813734e-06
2  1  6.83699923815101827e-06
2  2  5.94834735713815787e-06
2  3  5.45764472003269851e-06
2  4  7.84257381874493815e-06
2  5  8.72779721165260484e-06
2  6  5.04499459222023518e-06
3  0  6.82164418374843229e-06
3  1  6.27229944109055719e-06
3  2  5.45764472003269766e-06
3  3  5.00831764672029377e-06
3  4  7.19906568925875054e-06
3  5  8.01655392734423238e-06
3  6  4.62582033174682386e-06
4  0  9.79786602351378724e-06
4  1  9.01155470720898967e-06
4  2  7.84257381874493815e-06
4  3  7.19906568925875054e-06
4  4  1.03533510953295424e-05
4  5  1.15408901854405209e-05
4  6  6.64000065675238443e-06
5  0  1.08930422025089255e-05
5  1  1.00249570907776293e-05
5  2  8.72779721165260315e-06
5  3  8.01655392734423407e-06
5  4  1.15408901854405242e-05
5  5  1.28914190145220447e-05
5  6  7.37310935600047712e-06
6  0  6.31424344891930317e-06
6  1  5.80099197210278842e-06
6  2  5.04499459222023264e-06
6  3  4.62582033174682301e-06
6  4  6.64000065675238020e-06
6  5  7.37310935600047543e-06
6  6  4.28883157716634711e-06
