numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.05952484388163048e-04
0  1  9.13790617331276095e-05
0  2  7.62051514304828108e-05
0  3  6.20141774891724948e-05
0  4  6.85319721573549273e-05
0  5  4.91951320174614489e-05
0  6  7.10681075261438094e-05
1  0  9.13790617331276095e-05
1  1  7.91290467696867096e-05
1  2  6.62219109114784506e-05
1  3  5.41264347030453798e-05
1  4  6.03379415078482556e-05
1  5  4.52427988987513368e-05
1  6  6.36195957627683033e-05
2  0  7.62051514304827837e-05
2  1  6.62219109114784506e-05
2  2  5.56516123186756351e-05
2  3  4.57208371369859619e-05
2  4  5.14386447551098277e-05
2  5  4.02977452626285439e-05
2  6  5.54201196741267770e-05
3  0  6.20141774891724948e-05
3  1  5.41264347030453663e-05
3  2  4.57208371369859754e-05
3  3  3.78553975422736728e-05
3  4  4.32494417946873260e-05
3  5  3.57062474070131978e-05
3  6  4.73305764379100891e-05
4  0  6.85319721573549408e-05
4  1  6.03379415078482623e-05
4  2  5.14386447551098481e-05
4  3  4.32494417946873124e-05
4  4  5.09837849159511605e-05
4  5  4.58748633364341232e-05
4  6  5.67177238856975114e-05
5  0  4.91951320174614895e-05
5  1  4.52427988987513232e-05
5  2  4.02977452626285710e-05
5  3  3.57062474070131910e-05
5  4  4.58748633364341367e-05
5  5  5.36502667992248871e-05
5  6  5.87762006280858823e-05
6  0  7.10681075261437281e-05
6  1  6.36195957627682762e-05
6  2  5.54201196741267431e-05
6  3  4.73305764379101026e-05
6  4  5.67177238856975114e-05
6  5  5.87762006280858349e-05
6  6  1.01810550301029167e-04
