numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.67363781807944179e-01
0  1  4.80559333227574825e-02
0  2  -7.61665776371955872e-03
0  3  1.55096622358541936e-01
0  4  6.51756103034131229e-02
1  0  -1.51037694304250181e-02
1  1  1.49338792776688933e-01
1  2  1.32526560395490378e-01
1  3  1.39955094608012587e-01
1  4  -5.14075813989620656e-02
2  0  -1.22418191749602556e-01
2  1  2.62832668609917164e-01
2  2  3.46065737772732973e-01
2  3  4.15326078771613538e-01
2  4  -1.98698617459740490e-01
3  0  -7.69115299917757511e-02
3  1  1.08262873254716396e-02
3  2  3.48054549540393054e-01
3  3  7.22139566438272595e-01
3  4  -3.09916179394349456e-01
4  0  2.64025863492861390e-01
4  1  2.61917151976376772e-01
4  2  6.41206176951527596e-02
4  3  9.34857091633602977e-02
4  4  9.97611276106908917e-02
