numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.18205186688779684e-05
0  1  5.08071402464325922e-06
0  2  1.31584384508335961e-05
0  3  2.57087415827000281e-05
0  4  9.56210544868335713e-06
1  0  5.08071402464325753e-06
1  1  2.18380053560348439e-06
1  2  5.65578082081751259e-06
1  3  1.10501719572642077e-05
1  4  4.10999928337787630e-06
2  0  1.31584384508335978e-05
2  1  5.65578082081751259e-06
2  2  1.46477923105223043e-05
2  3  2.86186167663703431e-05
2  4  1.06444039835710457e-05
3  0  2.57087415827000315e-05
3  1  1.10501719572642077e-05
3  2  2.86186167663703431e-05
3  3  5.59145848232721869e-05
3  4  2.07968622065602769e-05
4  0  9.56210544868335544e-06
4  1  4.10999928337787630e-06
4  2  1.06444039835710423e-05
4  3  2.07968622065602702e-05
4  4  7.73518177780764627e-06
