numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.30375153311512332e-06
0  1  4.99651233448130571e-06
0  2  1.19217912274863278e-05
0  3  1.59018751270381938e-05
0  4  8.86684738868261614e-06
1  0  4.99651233448130402e-06
1  1  3.41812497254762405e-06
1  2  8.15572334945523320e-06
1  3  1.08785074154541956e-05
1  4  6.06582961436260853e-06
2  0  1.19217912274863295e-05
2  1  8.15572334945522812e-06
2  2  1.94597400291286351e-05
2  3  2.59563642780780427e-05
2  4  1.44732063973663985e-05
3  0  1.59018751270381938e-05
3  1  1.08785074154541837e-05
3  2  2.59563642780780088e-05
3  3  3.46218832074733290e-05
3  4  1.93050789455316870e-05
4  0  8.86684738868261784e-06
4  1  6.06582961436261022e-06
4  2  1.44732063973664053e-05
4  3  1.93050789455317006e-05
4  4  1.07644656664073430e-05
