numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.69349614257346178e-05
0  1  1.19777464348504450e-05
0  2  3.33099509783649393e-05
0  3  1.06490613712956816e-04
0  4  4.36152039706013292e-05
1  0  1.19777464348504484e-05
1  1  2.14337031951158598e-06
1  2  5.96068389490036953e-06
1  3  1.90560738600052990e-05
1  4  7.80476813217811348e-06
2  0  3.33099509783649529e-05
2  1  5.96068389490037037e-06
2  2  1.65765813641670921e-05
2  3  5.29946838972972540e-05
2  4  2.17049547086696280e-05
3  0  1.06490613712956816e-04
3  1  1.90560738600052990e-05
3  2  5.29946838972972405e-05
3  3  1.69421936868438679e-04
3  4  6.93898933997055291e-05
4  0  4.36152039706013225e-05
4  1  7.80476813217811517e-06
4  2  2.17049547086696314e-05
4  3  6.93898933997055291e-05
4  4  2.84199165410407255e-05
