numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.96357498446031686e-06
0  1  6.50664868935051282e-06
0  2  1.28000534236096788e-05
0  3  5.92285463579362874e-06
0  4  1.03259588977832016e-05
1  0  6.50664868935051367e-06
1  1  1.42856102472927495e-05
1  2  2.81030347701876058e-05
1  3  1.30038668011696042e-05
1  4  2.26710602164107290e-05
2  0  1.28000534236096822e-05
2  1  2.81030347701876058e-05
2  2  5.52850420544018277e-05
2  3  2.55815547627314883e-05
2  4  4.45991163492332038e-05
3  0  5.92285463579362874e-06
3  1  1.30038668011695992e-05
3  2  2.55815547627314816e-05
3  3  1.18371248308840570e-05
3  4  2.06369516031959414e-05
4  0  1.03259588977832016e-05
4  1  2.26710602164107324e-05
4  2  4.45991163492332241e-05
4  3  2.06369516031959414e-05
4  4  3.59786500148654602e-05
