numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.41389906013449208e-04
0  1  2.99724293972330384e-04
0  2  6.95241528803313617e-04
0  3  8.46498803927314800e-04
0  4  4.69638164210351621e-04
1  0  2.99724293972330493e-04
1  1  2.63780677655469037e-04
1  2  6.12053777107210168e-04
1  3  7.44928836973158593e-04
1  4  4.12643302110513770e-04
2  0  6.95241528803313726e-04
2  1  6.12053777107210168e-04
2  2  1.42042589359965099e-03
2  3  1.72922239068148552e-03
2  4  9.56990590626218191e-04
3  0  8.46498803927314908e-04
3  1  7.44928836973158593e-04
3  2  1.72922239068148552e-03
3  3  2.10648826852375456e-03
3  4  1.16440036214026515e-03
4  0  4.69638164210351621e-04
4  1  4.12643302110513770e-04
4  2  9.56990590626218191e-04
4  3  1.16440036214026515e-03
4  4  6.46577289599845149e-04
