numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.55037641042868245e-08
0  1  -1.74948421695689466e-08
0  2  -6.61685576883713905e-08
0  3  -8.69024791747275280e-08
0  4  3.95753408676427258e-08
1  0  -1.74948421695689433e-08
1  1  3.16811751155242665e-08
1  2  1.04060276474880037e-07
1  3  1.46753965816235171e-07
1  4  -2.27629018142834490e-08
2  0  -6.61685576883713905e-08
2  1  1.04060276474880064e-07
2  2  3.44729449739688465e-07
2  3  4.84004169623869016e-07
2  4  -8.38636385372640909e-08
3  0  -8.69024791747275280e-08
3  1  1.46753965816235171e-07
3  2  4.84004169623869016e-07
3  3  6.81125677435229775e-07
3  4  -1.11568971100277596e-07
4  0  3.95753408676427258e-08
4  1  -2.27629018142834490e-08
4  2  -8.38636385372640776e-08
4  3  -1.11568971100277596e-07
4  4  4.45752002198844572e-08
