numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.09296023357261037e-05
0  1  3.97137332103023524e-05
0  2  9.22284903985895737e-05
0  3  1.08265485425867615e-04
0  4  5.94839099154441251e-05
1  0  3.97137332103023524e-05
1  1  3.96571860040830431e-05
1  2  9.27079702704665295e-05
1  3  1.09152088093042329e-04
1  4  5.79204089769206763e-05
2  0  9.22284903985895737e-05
2  1  9.27079702704665295e-05
2  2  2.17900386530422454e-04
2  3  2.58778528448172301e-04
2  4  1.33535318532881767e-04
3  0  1.08265485425867615e-04
3  1  1.09152088093042316e-04
3  2  2.58778528448172301e-04
3  3  3.12372062272630842e-04
3  4  1.54182290591609717e-04
4  0  5.94839099154441251e-05
4  1  5.79204089769206831e-05
4  2  1.33535318532881822e-04
4  3  1.54182290591609744e-04
4  4  8.78724719357623624e-05
