numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.56743281169844013e-05
0  1  9.92399161396095141e-06
0  2  1.77366228314527815e-05
0  3  1.31723135371436936e-05
0  4  2.50908147936798991e-05
1  0  9.92399161396095141e-06
1  1  9.85814799540744258e-06
1  2  2.14870562641434292e-05
1  3  2.14903900084346891e-05
1  4  1.63979385227964819e-05
2  0  1.77366228314527781e-05
2  1  2.14870562641434258e-05
2  2  5.03689300407565152e-05
2  3  5.57995470598689276e-05
2  4  2.87023182671476022e-05
3  0  1.31723135371436919e-05
3  1  2.14903900084346891e-05
3  2  5.57995470598689208e-05
3  3  7.09673315618340186e-05
3  4  1.87459124455211655e-05
4  0  2.50908147936798957e-05
4  1  1.63979385227964786e-05
4  2  2.87023182671475988e-05
4  3  1.87459124455211587e-05
4  4  4.17856056365221686e-05
