numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.18703216473920743e-07
0  1  3.74736129070389040e-07
0  2  8.94547600047430512e-07
0  3  9.45518194330305500e-07
0  4  4.25066680690513813e-07
1  0  3.74736129070389092e-07
1  1  6.45278357406671464e-07
1  2  1.53993460002014711e-06
1  3  1.62472856174234035e-06
1  4  7.31381754689074629e-07
2  0  8.94547600047430406e-07
2  1  1.53993460002014754e-06
2  2  3.67506004753245274e-06
2  3  3.87782198360255571e-06
2  4  1.74549392767034775e-06
3  0  9.45518194330305605e-07
3  1  1.62472856174234056e-06
3  2  3.87782198360255655e-06
3  3  4.09448879987429815e-06
3  4  1.84212567340071812e-06
4  0  4.25066680690513813e-07
4  1  7.31381754689074417e-07
4  2  1.74549392767034733e-06
4  3  1.84212567340071812e-06
4  4  8.29073549350480219e-07
