numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.03210831156386362e+00
0  1  3.19482419448540389e-01
0  2  -3.39254662478032099e-01
0  3  1.31621906396116972e+00
0  4  7.98725079448339592e-01
1  0  -3.01446992624263110e-01
1  1  1.45025784412811376e+00
1  2  1.06157163119854347e+00
1  3  1.25275217856585641e+00
1  4  -6.00815039188607791e-01
2  0  -1.61873462871687379e+00
2  1  2.49468887819553409e+00
2  2  2.86142187055006358e+00
2  3  3.84322224914165256e+00
2  4  -2.36835629611268317e+00
3  0  -8.54144619275171046e-01
3  1  -2.09779324872583522e-01
3  2  2.81403381760411175e+00
3  3  6.84702806058614311e+00
3  4  -3.75109819206173789e+00
4  0  2.77461417621098327e+00
4  1  2.49540587451794149e+00
4  2  2.57507364576457731e-01
4  3  6.73486142165766077e-01
4  4  1.21684736896640100e+00
