numXbins 6
numYbins 6
xbin  ybin  z
0  0  4.15758799095680671e-05
0  1  -9.75923389429693774e-05
0  2  3.74845148311074285e-05
0  3  4.94476804959359030e-05
0  4  6.28080448141461268e-05
0  5  -9.38524139194149061e-05
1  0  -9.75923389429693774e-05
1  1  2.29081492468125725e-04
1  2  -8.79885521236633563e-05
1  3  -1.16070058057688097e-04
1  4  -1.47431251273090339e-04
1  5  2.20302651675966763e-04
2  0  3.74845148311074217e-05
2  1  -8.79885521236633563e-05
2  2  3.37957694504537013e-05
2  3  4.45816737239326528e-05
2  4  5.66272822720681921e-05
2  5  -8.46166625733379420e-05
3  0  4.94476804959359030e-05
3  1  -1.16070058057688057e-04
3  2  4.45816737239326528e-05
3  3  5.88098943845915534e-05
3  4  7.46998533596780848e-05
3  5  -1.11622031508503309e-04
4  0  6.28080448141460997e-05
4  1  -1.47431251273090366e-04
4  2  5.66272822720681717e-05
4  3  7.46998533596780713e-05
4  4  9.48831510471036233e-05
4  5  -1.41781403837705142e-04
5  0  -9.38524139194149196e-05
5  1  2.20302651675966763e-04
5  2  -8.46166625733379285e-05
5  3  -1.11622031508503282e-04
5  4  -1.41781403837705196e-04
5  5  2.11860232847990720e-04
