numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.14375095712895872e-06
0  1  6.93932573763844917e-05
0  2  5.05668439320754509e-05
0  3  4.64111439064624504e-05
0  4  6.43412375123222956e-05
0  5  -1.79626220246654876e-04
1  0  6.93932573763842477e-05
1  1  9.36169773661234403e-04
1  2  6.82186607581911422e-04
1  3  6.26122936564411751e-04
1  4  8.68014041080207230e-04
1  5  -2.42329938541207320e-03
2  0  5.05668439320755390e-05
2  1  6.82186607581911205e-04
2  2  4.97109157609397457e-04
2  3  4.56255578893176479e-04
2  4  6.32521547563069469e-04
2  5  -1.76585746880544370e-03
3  0  4.64111439064623894e-05
3  1  6.26122936564412077e-04
3  2  4.56255578893176371e-04
3  3  4.18759441632970367e-04
3  4  5.80539465886396443e-04
3  5  -1.62073522352153081e-03
4  0  6.43412375123222143e-05
4  1  8.68014041080207338e-04
4  2  6.32521547563069360e-04
4  3  5.80539465886396552e-04
4  4  8.04820233156809325e-04
4  5  -2.24687652972641299e-03
5  0  -1.79626220246655038e-04
5  1  -2.42329938541207277e-03
5  2  -1.76585746880544327e-03
5  3  -1.62073522352153081e-03
5  4  -2.24687652972641386e-03
5  5  6.27277239295222916e-03
