numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.24363551939290877e-04
0  1  -2.51821730265238817e-05
0  2  1.45476063247803873e-04
0  3  1.85850065166872621e-04
0  4  3.17585905642029363e-04
0  5  -6.84277571983495786e-04
1  0  -2.51821730265239054e-05
1  1  5.09909719085015447e-06
1  2  -2.94572110461436003e-05
1  3  -3.76324769198258850e-05
1  4  -6.43074526414856600e-05
1  5  1.38558250766830854e-04
2  0  1.45476063247803873e-04
2  1  -2.94572110461436003e-05
2  2  1.70172728649709752e-04
2  3  2.17400801225287098e-04
2  4  3.71500705595353335e-04
2  5  -8.00443584865756811e-04
3  0  1.85850065166872676e-04
3  1  -3.76324769198258918e-05
3  2  2.17400801225287071e-04
3  3  2.77736090550002445e-04
3  4  4.74603373249295548e-04
3  5  -1.02259085851329440e-03
4  0  3.17585905642029363e-04
4  1  -6.43074526414855516e-05
4  2  3.71500705595353335e-04
4  3  4.74603373249295548e-04
4  4  8.11015815242266489e-04
4  5  -1.74743249947534925e-03
5  0  -6.84277571983496111e-04
5  1  1.38558250766830936e-04
5  2  -8.00443584865756811e-04
5  3  -1.02259085851329440e-03
5  4  -1.74743249947534947e-03
5  5  3.76505646725337848e-03
