numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.40926239892945085e-04
0  1  -5.78533590123317290e-04
0  2  3.44562935522630540e-05
0  3  1.95062787532313420e-04
0  4  4.40621234100512882e-04
0  5  -3.19910983406861767e-04
1  0  -5.78533590123317290e-04
1  1  1.38922649126843991e-03
1  2  -8.27395273341389835e-05
1  3  -4.68402174958924822e-04
1  4  -1.05805903317964379e-03
1  5  7.68198805711209440e-04
2  0  3.44562935522630268e-05
2  1  -8.27395273341390242e-05
2  2  4.92779933761996299e-06
2  3  2.78970886331129043e-05
2  4  6.30158615942948033e-05
2  5  -4.57523711811465473e-05
3  0  1.95062787532313448e-04
3  1  -4.68402174958924985e-04
3  2  2.78970886331128873e-05
3  3  1.57930041562860278e-04
3  4  3.56743234808152166e-04
3  5  -2.59011754856069705e-04
4  0  4.40621234100512882e-04
4  1  -1.05805903317964379e-03
4  2  6.30158615942947762e-05
4  3  3.56743234808152166e-04
4  4  8.05836143155381200e-04
4  5  -5.85073557673398861e-04
5  0  -3.19910983406861713e-04
5  1  7.68198805711209549e-04
5  2  -4.57523711811465541e-05
5  3  -2.59011754856069705e-04
5  4  -5.85073557673398970e-04
5  5  4.24789916406868916e-04
