numXbins 6
numYbins 6
xbin  ybin  z
0  0  3.55885340417739907e-06
0  1  -8.14150537675792436e-07
0  2  -4.81106927465931828e-07
0  3  -1.46017295910596723e-07
0  4  -1.10833512854072157e-08
0  5  6.55528220669847161e-06
1  0  -8.14150537675792118e-07
1  1  3.04539651199391242e-07
1  2  1.25499245090435716e-07
1  3  3.87488509648071779e-08
1  4  -4.37102167409258860e-08
1  5  -2.96656948193891764e-06
2  0  -4.81106927465932040e-07
2  1  1.25499245090435795e-07
2  2  6.70536087798712220e-08
2  3  2.04370246910988542e-08
2  4  -4.53711172999575896e-09
2  5  -1.07762804450377152e-06
3  0  -1.46017295910597067e-07
3  1  3.87488509648071514e-08
3  2  2.04370246910988112e-08
3  3  6.23249241567636610e-09
3  4  -1.63485466709470089e-09
3  5  -3.35241546237482071e-07
4  0  -1.10833512854073199e-08
4  1  -4.37102167409259522e-08
4  2  -4.53711172999578294e-09
4  3  -1.63485466709474101e-09
4  4  1.81146368621634871e-08
4  5  5.53093471712989960e-07
5  0  6.55528220669847330e-06
5  1  -2.96656948193891764e-06
5  2  -1.07762804450377109e-06
5  3  -3.35241546237481330e-07
5  4  5.53093471712991866e-07
5  5  3.02665200432223265e-05
